"id","title","description","category","organization","location","time_commitment","starts_at","ends_at","latitude","longitude","is_active","tags","image_url","source_url","created_at","updated_at"
"104","Frigo solidaire - réassort","💡 Frigo solidaire - réassort. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Restos du Cœur","Paris","2–4 h","","","48.875132","2.327571","false","réseau, impact, convivial","","","2025-09-29T05:32:29Z","2025-10-23T08:09:11Z"
"105","Jardin partagé - coup de main","💡 Jardin partagé - coup de main. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Bibliothèque Solidaire","Paris","1–2 h","","","48.841419","2.350944","false","réseau, accueil, convivial","","","2025-09-29T05:32:29Z","2025-10-19T07:57:49Z"
"106","Accueil évènement","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Accueil évènement** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Tous les **mardis** à **18:30** (dès **novembre 2025**)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Simplon","Paris","Ponctuel (2–3 h)","","","48.845231","2.363591","false","réseau, accueil, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:05:21Z"
"107","Aide alimentaire - distribution","💡 Aide alimentaire - distribution. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Secours Populaire","Paris","Hebdomadaire","","","48.855498","2.319795","false","impact, convivial, débutant","","","2025-09-29T05:32:29Z","2025-10-11T18:33:06Z"
"108","Accompagnement numérique","💡 Accompagnement numérique. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Fab City","Paris","2–4 h","","","48.877543","2.377381","false","réseau, convivial, impact","","","2025-09-29T05:32:29Z","2025-10-19T19:27:05Z"
"109","Atelier devoirs","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier devoirs** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Secours Populaire","Paris","Jeudi 14:00–17:00","","","48.848337","2.328995","false","accueil, convivial, réseau","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:05:21Z"
"110","Atelier podcast - initiation","💡 Atelier podcast - initiation. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Simplon","Paris","1–2 h","","","48.840129","2.333722","false","impact, accueil, convivial","","","2025-09-29T05:32:29Z","2025-10-23T08:09:11Z"
"111","Découverte du code (initiation)","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Découverte du code (initiation)** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Pôle Asso","Paris","Jeudi 14:00–17:00","","","48.843381","2.339453","false","convivial, débutant, réseau","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-28T08:08:44Z"
"112","Starter Design Thinking","💡 Starter Design Thinking. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Restos du Cœur","Paris","Hebdomadaire","","","48.86186","2.371238","false","accueil, débutant, impact","","","2025-09-29T05:32:29Z","2025-10-21T07:55:23Z"
"113","Atelier pitch de projet","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier pitch de projet** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Bibliothèque Solidaire","Paris","Jeudi 14:00–17:00","","","48.844896","2.34699","false","accueil, convivial, réseau","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:05:21Z"
"114","Atelier podcast - initiation","💡 Atelier podcast - initiation. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Collectif Zéro Déchet","Paris","1–2 h","","","48.868942","2.373404","false","accueil, impact, convivial","","","2025-09-29T05:32:29Z","2025-10-13T06:44:08Z"
"115","Atelier podcast - initiation","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier podcast - initiation** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Le Wagon","Paris","Mensuel (soirée)","","","48.83784","2.366078","false","impact, accueil, débutant","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T09:49:02Z"
"116","Webinaire reconversion","💡 Webinaire reconversion. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Collectif Zéro Déchet","Paris","1–2 h","","","48.835159","2.336967","false","réseau, débutant, impact","","","2025-09-29T05:32:29Z","2025-10-21T05:19:36Z"
"117","Café-rencontre bienveillance","💡 Café-rencontre bienveillance. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Latitudes","Paris","Ponctuel","","","48.858195","2.332187","false","accueil, impact, débutant","","","2025-09-29T05:32:29Z","2025-10-21T06:39:15Z"
"118","Balade urbaine solidaire","💡 Balade urbaine solidaire. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Le Wagon","Paris","Mensuel","","","48.854181","2.34986","false","réseau, accueil, débutant","","","2025-09-29T05:32:29Z","2025-10-14T20:03:00Z"
"119","Apéro associatif","💡 Apéro associatif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Fab City","Paris","1–2 h","","","48.862093","2.385241","false","impact, réseau, convivial","","","2025-09-29T05:32:29Z","2025-10-19T14:26:23Z"
"120","Balade urbaine solidaire","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Balade urbaine solidaire** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Format **2–4 h** : dates à venir (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Tiers-Lieu Citoyen","Paris","Mardi 18:30–20:00","","","48.835592","2.355457","false","réseau, accueil, convivial","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:27:44Z"
"121","Visite tiers-lieu","💡 Visite tiers-lieu. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Collectif Zéro Déchet","Paris","Ponctuel","","","48.873355","2.349264","false","réseau, débutant, convivial","","","2025-09-29T05:32:29Z","2025-10-23T08:09:11Z"
"122","Atelier finance d'amorçage","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier finance d'amorçage** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Créneau **hebdomadaire** : jeudi 18:30–20:00 (à partir de nov. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","entreprendre","Makesense","Paris","Jeudi 14:00–17:00","","","48.878029","2.365905","false","réseau, accueil, débutant","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T09:49:02Z"
"123","Atelier business model","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier business model** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","entreprendre","Simplon","Paris","Mardi 18:30–20:00","","","48.87842","2.33446","false","débutant, impact, convivial","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:05:21Z"
"124","Atelier business model","💡 Atelier business model. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Secours Populaire","Paris","2–4 h","","","48.878014","2.36484","false","convivial, réseau, impact","","","2025-09-29T05:32:29Z","2025-10-13T16:02:21Z"
"125","Atelier business model","💡 Atelier business model. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","MJC Locale","Paris","2–4 h","","","48.876867","2.356092","false","convivial, impact, réseau","","","2025-09-29T05:32:29Z","2025-10-13T16:52:02Z"
"126","Permanence pro bono (stratégie)","💡 Permanence pro bono (stratégie). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Réseau Entourage","Paris","Hebdomadaire","","","48.847602","2.352175","false","débutant, convivial, impact","","","2025-09-29T05:32:29Z","2025-09-29T05:32:29Z"
"127","Permanence pro bono (stratégie)","![Illustration](https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Permanence pro bono (stratégie)** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","entreprendre","Simplon","Paris","Mensuel (soirée)","","","48.83546","2.352071","false","réseau, débutant, accueil","https://images.unsplash.com/photo-1556157382-97eda2d62296?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:32:29Z","2025-10-29T08:05:21Z"
"128","Soirée jeux coopératifs","💡 Soirée jeux coopératifs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","MJC Locale","Lyon","2–4 h","","","45.7838","4.833404","false","débutant, réseau, impact","","","2025-09-29T05:32:29Z","2025-10-21T07:55:23Z"
"129","Apéro associatif","💡 Apéro associatif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Réseau Entourage","Lyon","Ponctuel","","","45.764422","4.843383","false","accueil, débutant, réseau","","","2025-09-29T05:32:29Z","2025-10-21T07:46:51Z"
"130","Soirée jeux coopératifs","💡 Soirée jeux coopératifs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Bibliothèque Solidaire","Rennes","Hebdomadaire","","","48.137901","-1.687467","false","débutant, convivial, accueil","","","2025-09-29T05:32:29Z","2025-10-06T06:46:10Z"
"131","Initiation compost collectif","💡 Initiation compost collectif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Secours Populaire","Rennes","Mensuel","","","48.13381","-1.654503","false","réseau, convivial, impact","","","2025-09-29T05:32:29Z","2025-10-27T18:57:28Z"
"132","Cercle de lecture engagé","💡 Cercle de lecture engagé. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Secours Populaire","Lille","Ponctuel","","","50.612956","3.038402","false","accueil, convivial, impact","","","2025-09-29T05:32:29Z","2025-10-11T18:04:28Z"
"133","Apéro associatif","💡 Apéro associatif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Bibliothèque Solidaire","Lille","Ponctuel","","","50.61594","3.082573","false","accueil, impact, réseau","","","2025-09-29T05:32:29Z","2025-10-19T19:27:05Z"
"134","Tri de dons","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Tri de dons** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","MJC Locale","Paris","Mensuel (soirée)","","","48.871405","2.324103","false","réseau, convivial, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:05:21Z"
"135","Frigo solidaire - réassort","💡 Frigo solidaire - réassort. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Collectif Zéro Déchet","Paris","1–2 h","","","48.871808","2.369608","false","accueil, convivial, réseau","","","2025-09-29T05:33:07Z","2025-10-13T16:12:52Z"
"136","Aide alimentaire - distribution","💡 Aide alimentaire - distribution. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Le Wagon","Paris","Ponctuel","","","48.83965","2.354194","false","réseau, impact, accueil","","","2025-09-29T05:33:07Z","2025-10-19T13:18:59Z"
"137","Frigo solidaire - réassort","![Illustration](https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Frigo solidaire - réassort** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","benevolat","Makesense","Paris","Jeudi 14:00–17:00","","","48.854632","2.352342","false","débutant, convivial, impact","https://images.unsplash.com/photo-1488521787991-ed7bbaae773c?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T09:49:02Z"
"138","Collecte solidaire","💡 Collecte solidaire. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","MJC Locale","Paris","1–2 h","","","48.860421","2.374049","false","convivial, réseau, impact","","","2025-09-29T05:33:07Z","2025-10-11T18:42:34Z"
"139","Repair Café - accueil","💡 Repair Café - accueil. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Latitudes","Paris","2–4 h","","","48.863029","2.368932","false","débutant, accueil, réseau","","","2025-09-29T05:33:07Z","2025-10-21T05:19:35Z"
"140","Atelier devoirs","💡 Atelier devoirs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Collectif Zéro Déchet","Paris","Hebdomadaire","","","48.852407","2.360108","false","réseau, débutant, convivial","","","2025-09-29T05:33:07Z","2025-10-19T19:27:05Z"
"141","Accueil évènement","💡 Accueil évènement. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","benevolat","Tiers-Lieu Citoyen","Paris","2–4 h","","","48.83851","2.365757","false","réseau, convivial, débutant","","","2025-09-29T05:33:07Z","2025-10-19T06:37:34Z"
"142","Découverte du code (initiation)","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Découverte du code (initiation)** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Le Wagon","Paris","Mensuel (soirée)","","","48.859847","2.350811","false","convivial, impact, réseau","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T09:49:02Z"
"143","Atelier pitch de projet","💡 Atelier pitch de projet. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Fab City","Paris","Mensuel","","","48.870016","2.326321","false","accueil, réseau, débutant","","","2025-09-29T05:33:07Z","2025-10-21T05:19:36Z"
"144","Starter Design Thinking","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Starter Design Thinking** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Pôle Asso","Paris","Jeudi 14:00–17:00","","","48.844028","2.32034","false","impact, convivial, débutant","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:27:44Z"
"145","Atelier pitch de projet","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier pitch de projet** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Emmaüs","Paris","Samedi 9:30–12:30","","","48.835241","2.328598","false","accueil, impact, convivial","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:27:44Z"
"146","Découverte du code (initiation)","💡 Découverte du code (initiation). Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Bibliothèque Solidaire","Paris","Ponctuel","","","48.847817","2.346581","false","impact, débutant, convivial","","","2025-09-29T05:33:07Z","2025-10-19T14:24:56Z"
"147","Formation premiers secours","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Formation premiers secours** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Bibliothèque Solidaire","Paris","Samedi 9:30–12:30","","","48.843044","2.372174","false","accueil, impact, réseau","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:27:44Z"
"148","Starter Design Thinking","💡 Starter Design Thinking. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","Simplon","Paris","Hebdomadaire","","","48.874852","2.326997","false","débutant, convivial, accueil","","","2025-09-29T05:33:07Z","2025-10-19T18:28:39Z"
"149","Atelier podcast - initiation","![Illustration](https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Atelier podcast - initiation** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Cycle **novembre–décembre 2025**, horaires communiqués après inscription

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","formation","Tiers-Lieu Citoyen","Paris","Ponctuel (2–3 h)","","","48.840566","2.319774","false","convivial, réseau, impact","https://images.unsplash.com/photo-1513258496099-48168024aec0?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:05:21Z"
"150","Formation outils collaboratifs","💡 Formation outils collaboratifs. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","formation","MJC Locale","Paris","1–2 h","","","48.863449","2.333977","false","accueil, débutant, impact","","","2025-09-29T05:33:07Z","2025-10-19T07:57:49Z"
"151","Balade urbaine solidaire","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Balade urbaine solidaire** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Prochaine session : **jeudi 13 novembre 2025, 14:00–17:00**

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Restos du Cœur","Paris","Jeudi 14:00–17:00","","","48.87277","2.381038","false","débutant, impact, convivial","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-28T08:08:44Z"
"152","Cercle de lecture engagé","💡 Cercle de lecture engagé. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Secours Populaire","Paris","1–2 h","","","48.863466","2.320311","false","impact, convivial, accueil","","","2025-09-29T05:33:07Z","2025-10-19T18:28:39Z"
"153","Initiation compost collectif","💡 Initiation compost collectif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Makesense","Paris","Hebdomadaire","","","48.869399","2.355658","false","débutant, réseau, convivial","","","2025-09-29T05:33:07Z","2025-10-05T15:55:54Z"
"154","Cercle de lecture engagé","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Cercle de lecture engagé** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Tiers-Lieu Citoyen","Paris","Mardi 18:30–20:00","","","48.843364","2.376714","false","impact, accueil, réseau","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:05:21Z"
"155","Apéro associatif","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Apéro associatif** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Format **2–4 h** : dates à venir (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","MJC Locale","Paris","Mensuel (soirée)","","","48.857083","2.36981","false","réseau, convivial, débutant","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T08:27:44Z"
"156","Cercle de lecture engagé","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Cercle de lecture engagé** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Un **samedi par mois**, 9:30–12:30 (nov.–déc. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Le Wagon","Paris","Samedi 9:30–12:30","","","48.852708","2.343441","false","réseau, débutant, convivial","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T09:49:02Z"
"157","Atelier business model","💡 Atelier business model. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Fab City","Paris","Hebdomadaire","","","48.836218","2.382728","false","débutant, accueil, impact","","","2025-09-29T05:33:07Z","2025-10-21T07:46:51Z"
"158","Office hours juridique","💡 Office hours juridique. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Réseau Entourage","Paris","1–2 h","","","48.860231","2.352867","false","réseau, accueil, impact","","","2025-09-29T05:33:07Z","2025-09-29T06:25:31Z"
"159","Atelier business model","💡 Atelier business model. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Emmaüs","Paris","2–4 h","","","48.876391","2.352875","false","réseau, accueil, convivial","","","2025-09-29T05:33:07Z","2025-10-11T18:33:06Z"
"160","Atelier finance d'amorçage","💡 Atelier finance d'amorçage. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Pôle Asso","Paris","2–4 h","","","48.853692","2.320582","false","impact, débutant, convivial","","","2025-09-29T05:33:07Z","2025-10-21T06:39:15Z"
"161","Office hours juridique","💡 Office hours juridique. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Pôle Asso","Paris","2–4 h","","","48.849253","2.328998","false","débutant, réseau, convivial","","","2025-09-29T05:33:07Z","2025-10-21T05:19:36Z"
"162","Club entrepreneurs à impact","💡 Club entrepreneurs à impact. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","entreprendre","Emmaüs","Paris","Ponctuel","","","48.839309","2.359538","false","impact, réseau, accueil","","","2025-09-29T05:33:07Z","2025-10-21T06:39:15Z"
"163","Initiation compost collectif","💡 Initiation compost collectif. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","Secours Populaire","Lyon","1–2 h","","","45.750476","4.816863","false","impact, accueil, débutant","","","2025-09-29T05:33:07Z","2025-10-23T08:09:12Z"
"164","Balade urbaine solidaire","![Illustration](https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop)

### À quoi ça ressemble ?
💡 **Balade urbaine solidaire** près de chez toi. Ambiance conviviale, apprentissages concrets et impact local immédiat.

🗓️ **Quand ?** Créneau **hebdomadaire** : jeudi 18:30–20:00 (à partir de nov. 2025)

👉 **Ce que tu feras** : participation active, accueil bienveillant, explications claires pas-à-pas.","rencontres","Tiers-Lieu Citoyen","Rennes","Mardi 18:30–20:00","","","48.130944","-1.674013","false","réseau, convivial, impact","https://images.unsplash.com/photo-1558222217-0d77a6d3b3d1?q=80&w=1200&auto=format&fit=crop","","2025-09-29T05:33:07Z","2025-10-29T09:49:02Z"
"165","Balade urbaine solidaire","💡 Balade urbaine solidaire. Rejoins-nous pour une expérience concrète et utile. Encadrement bienveillant, matériel fourni selon besoin.","rencontres","MJC Locale","Rennes","2–4 h","","","48.095887","-1.676209","false","impact, débutant, accueil","","","2025-09-29T05:33:07Z","2025-10-05T15:55:54Z"
